cat_id;name;ranking_id
1439;U21 JU-JITSU FIGHTING FEMALE -57 KG;307
1441;U21 JU-JITSU FIGHTING FEMALE -63 KG;316
1442;U21 JU-JITSU FIGHTING FEMALE -70 KG;297
1443;U21 JU-JITSU FIGHTING FEMALE +70 KG;302
1429;U21 JU-JITSU FIGHTING MALE -56 KG;308
1430;U21 JU-JITSU FIGHTING MALE -62 KG;299
1431;U21 JU-JITSU FIGHTING MALE -69 KG;300
1432;U21 JU-JITSU FIGHTING MALE -77 KG;312
1433;U21 JU-JITSU FIGHTING MALE -85 KG;311
1434;U21 JU-JITSU FIGHTING MALE -94 KG;315
1435;U21 JU-JITSU FIGHTING MALE +94 KG;314
1497;U21 JU-JITSU SHOW MEN;325
1498;U21 JU-JITSU SHOW MIXED;370
1496;U21 JU-JITSU SHOW WOMEN;326
